# list of all "regular" pulsars from the ATNF catalogue
# https://www.atnf.csiro.au/research/pulsar/psrcat
#
# We define a regular pulsar as one with a spin period > 30 ms
#
# P0 = spin period in sec
# P1 = \dot{P}/P [dimensionless]
# d  = distance estimate in kpc
#
# citation: Manchester, R. N., Hobbs, G.B., Teoh, A. & Hobbs, M.,
#           AJ, 129, 1993-2006 (2005)

id    name          P0       dP0     P1       dP1        d     age
138   J0451-67      0.245454 7.0e-08 0.00e+00 2.0e-15   49.700    NaN
139   B0450-18      0.548939 3.0e-12 5.75e-15 1.6e-20    0.400 1.51e+06
140   J0453+1559    0.045782 3.3e-15 1.86e-19 8.0e-23    0.522 3.90e+09

141   J0454+4529    1.389137 4.0e-10 4.89e-15 2.0e-18    0.765 4.50e+06
142   B0450+55      0.340729 1.0e-11 2.37e-15 7.0e-20    1.180 2.28e+06
143   B0456-69      0.320423 1.2e-11 1.02e-14 1.5e-18   49.700 4.97e+05
144   J0456-69      0.117073 1.5e-08      NaN       0   49.700    NaN
145   J0456-7031    0.800132 1.0e-10 3.67e-14 3.0e-17   49.700 3.45e+05

146   J0457+23      0.504900       0      NaN       0    1.517    NaN
147   J0457-6337    2.497012 1.9e-10 2.10e-16 3.0e-17    1.333 1.88e+08
148   J0457-69      0.231390 7.3e-08      NaN       0   49.700    NaN
149   J0458-0505    1.883480 1.8e-10 5.30e-16 1.5e-16    1.938 5.63e+07
150   J0458-67      1.133900 1.8e-06      NaN       0   49.700    NaN

151   J0459-0210    1.133076 6.0e-12 1.40e-15 6.0e-20    0.160 1.28e+07
152   J0501+4516    5.762097 4.0e-08 5.82e-12 3.0e-14    2.000 1.57e+04
153   B0458+46      0.638565 3.0e-12 5.58e-15 1.7e-20    1.319 1.81e+06
154   B0502-66      0.691251 4.0e-11 2.31e-14 6.0e-18   49.700 4.74e+05
155   J0509+3801    0.076541 1.2e-13 7.93e-18 3.0e-21    1.562 1.53e+08

156   J0511-6508    0.322062 8.0e-12 2.06e-16 4.0e-18    0.818 2.48e+07
157   J0514-4002I   0.032654       0      NaN       0   11.950    NaN
158   J0514-4408    0.320271 7.0e-13 2.04e-15 1.1e-20    0.966 2.48e+06
159   J0517+2212    0.222367 7.0e-13 1.16e-17 1.5e-21    0.159 3.04e+08
160   J0518+5125    0.912512 8.0e-12 1.91e-16 1.0e-18    1.337 7.57e+07

161   J0518+5416    0.340203 6.0e-12 1.68e-15 4.0e-18    1.434 3.22e+06
162   J0519+44      0.515000       0      NaN       0    1.421    NaN
163   J0519-6932    0.263212 3.0e-12 6.97e-16 5.0e-19   49.700 5.98e+06
164   J0520-2553    0.241642 7.0e-13 3.01e-17 9.0e-21    2.379 1.27e+08
165   J0521-68      0.433421 3.0e-07      NaN       0   49.700    NaN

166   J0522-6847    0.674532 3.0e-11 1.77e-14 1.4e-17   49.700 6.03e+05
167   J0523-7125    0.322500       0      NaN       0   49.700    NaN
168   B0523+11      0.354438 1.3e-13 7.36e-17 6.0e-22    1.841 7.63e+07
169   J0525-6607    8.047000 2.0e-04 6.50e-11 5.0e-12      NaN 1.96e+03
170   B0525+21      3.745539 3.0e-11 4.01e-14 1.5e-18    1.215 1.48e+06

171   J0529-0715    0.689224 9.0e-12 5.75e-16 9.0e-19    7.002 1.90e+07
172   B0529-66      0.975737 2.0e-11 1.55e-14 4.0e-19   49.700 9.99e+05
173   J0530-39      0.907000 0.0e+00      NaN       0   25.000    NaN
174   J0532-6639    0.642743 3.0e-11 5.35e-15 1.3e-17   49.700 1.90e+06
175   J0532-69      1.149196 1.4e-06      NaN       0   49.700    NaN

176   J0533+0402    0.963018 1.9e-11 1.60e-16 8.0e-20    2.172 9.53e+07
177   J0533-4524    0.157285 2.0e-12 2.80e-16 2.0e-20    1.239 8.89e+06
178   J0534-13      0.979000 0.0e+00      NaN       0    6.226    NaN
179   B0531+21      0.033392 1.2e-09 4.21e-13 3.0e-18    2.000 1.26e+03
180   J0534-6703    1.817565 1.7e-10 4.25e-13 6.0e-17   49.700 6.78e+04

181   J0535-66      0.210524 3.0e-08      NaN       0   49.700    NaN
182   J0535-6935    0.200511 2.0e-08 1.15e-14 3.0e-16   49.700 2.76e+05
183   B0538-75      1.245856 8.0e-12 5.78e-16 1.3e-18    0.143 3.42e+07
184   J0537-69      0.112613 2.0e-08      NaN       0   49.700    NaN
185   J0538+2817    0.143158 1.1e-13 3.67e-15 1.3e-21    1.300 6.18e+05

186   J0540+3207    0.524271 5.0e-13 4.48e-16 2.0e-20    1.421 1.85e+07
187   B0540-69      0.050570 1.8e-12 4.79e-13 3.0e-19   49.700 1.67e+03
188   J0540-7125    1.286015 3.0e-09 8.20e-16 8.0e-17    0.547 2.48e+07
189   J0542-68      0.425189 7.2e-07      NaN       0   49.700    NaN
190   B0540+23      0.245975 1.9e-12 1.54e-14 1.9e-20    1.565 2.53e+05

191   J0543-6851    0.708954 6.0e-11 3.94e-15 3.0e-17   49.700 2.85e+06
192   J0545-03      1.073930 2.0e-05      NaN       0    2.062    NaN
193   J0546+2441    2.843850 6.0e-11 7.65e-15 3.0e-17    1.517 5.89e+06
194   J0550+09      1.745000       0      NaN       0    1.804    NaN
195   J0554+3107    0.464961 1.6e-11 1.43e-13 1.1e-18      NaN 5.17e+04

196   J0555+3948    1.146906 2.0e-07      NaN       0    1.065    NaN
197   J0555-7056    0.827838 7.0e-11 5.96e-15 3.0e-17   49.700 2.20e+06
198   J0556-67      0.790549 6.4e-07      NaN       0   47.489    NaN
199   J0557-2948    0.043643 3.0e-13 7.30e-20 5.0e-21    4.269 9.47e+09
