6    241    179          Itext Imax Icore 

      Mag field EoS B32 (2104.05950) with crust from APR 

   Rho           Press        nbar          Ye          Ymu          Yn            Yp         Yla           Ysm         Ys0          Ysp          mstp          mstn        mstla        mstsm        msts0        mstsp 
  g/cm3        dyne/cm2      #/fm3       [A_cell]     [A_ion]        [Z] 

7.481298E+14 1.523143E+35 3.618498E-01 8.423335E-02 3.940222E-02 7.268808E-01 1.218865E-01 2.906797E-02 -1.749042E-03 2.781712E-04 0.000000E+00 2.958406E-01 2.958406E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
7.368829E+14 1.467312E+35 3.568498E-01 8.394582E-02 3.890107E-02 7.367737E-01 1.210978E-01 2.075240E-02 -1.749042E-03 2.781712E-04 0.000000E+00 2.994042E-01 2.994042E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
7.258034E+14 1.412982E+35 3.519189E-01 8.367587E-02 3.835497E-02 7.475879E-01 1.202818E-01 1.157034E-02 -1.749042E-03 2.781712E-04 0.000000E+00 3.029971E-01 3.029971E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
7.148889E+14 1.360129E+35 3.470562E-01 8.342216E-02 3.776772E-02 7.592841E-01 1.194408E-01 1.556000E-03 -1.749042E-03 2.781712E-04 0.000000E+00 3.066192E-01 3.066192E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
7.041369E+14 1.308966E+35 3.422606E-01 8.318302E-02 3.714329E-02 7.620622E-01 1.185773E-01 5.050610E-04 -1.749042E-03 2.781712E-04 0.000000E+00 3.102701E-01 3.102701E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
6.935442E+14 1.259273E+35 3.375313E-01 8.295650E-02 3.648577E-02 7.638303E-01 1.176932E-01 5.050610E-04 -1.749042E-03 2.781712E-04 0.000000E+00 3.139496E-01 3.139496E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
6.831078E+14 1.211004E+35 3.328673E-01 8.274042E-02 3.579933E-02 7.656354E-01 1.167907E-01 5.050610E-04 -1.749042E-03 2.781712E-04 0.000000E+00 3.176575E-01 3.176575E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
6.728269E+14 1.164128E+35 3.282678E-01 8.253237E-02 3.508817E-02 7.674738E-01 1.158715E-01 5.050610E-04 -1.749042E-03 2.781712E-04 0.000000E+00 3.213935E-01 3.213935E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
6.626995E+14 1.118846E+35 3.237319E-01 8.232979E-02 3.435649E-02 7.693423E-01 1.149372E-01 5.050610E-04 -1.749042E-03 2.781712E-04 0.000000E+00 3.251572E-01 3.251572E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
6.527234E+14 1.075068E+35 3.192586E-01 8.212998E-02 3.360842E-02 7.712381E-01 1.139894E-01 5.050610E-04 -1.749042E-03 2.781712E-04 0.000000E+00 3.289484E-01 3.289484E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
