         5       653       401       557

EOS                                                                            

  i            rad           emas         rho         pres          nb           kf(e)      kf(mu)       kf(p)       kf(n)      kf(la)      kf(S-)      kf(S0)      kf(S+)         Tc(n)       Tc(p)      Tc(la)    Durca        mstn        mstp  nSF   Acel   Aion   Zion
   77   6.145086E+03   4.797568E-01   8.746E+14   9.992E+34   4.877E-01      9.732E-01   8.115E-01   1.133E+00   2.350E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.978E+08   1.000E+00   1.000E+00   00000   5.868E-01   3.898E-01  3p2   N/A    N/A    N/A 
   78   6.171574E+03   4.851375E-01   8.724E+14   9.915E+34   4.866E-01      9.721E-01   8.102E-01   1.132E+00   2.349E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.998E+08   1.000E+00   1.000E+00   00000   5.873E-01   3.902E-01  3p2   N/A    N/A    N/A 
   79   6.197836E+03   4.904724E-01   8.703E+14   9.839E+34   4.855E-01      9.710E-01   8.088E-01   1.130E+00   2.347E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      3.019E+08   1.000E+00   1.000E+00   00000   5.878E-01   3.905E-01  3p2   N/A    N/A    N/A 
   80   6.223878E+03   4.957625E-01   8.681E+14   9.764E+34   4.845E-01      9.699E-01   8.075E-01   1.129E+00   2.346E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      3.039E+08   1.000E+00   1.000E+00   00000   5.883E-01   3.909E-01  3p2   N/A    N/A    N/A 
   81   6.249703E+03   5.010086E-01   8.660E+14   9.689E+34   4.834E-01      9.688E-01   8.062E-01   1.127E+00   2.344E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      3.060E+08   1.000E+00   1.000E+00   00000   5.888E-01   3.913E-01  3p2   N/A    N/A    N/A 
   82   6.275317E+03   5.062118E-01   8.639E+14   9.615E+34   4.824E-01      9.677E-01   8.048E-01   1.126E+00   2.343E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      3.081E+08   1.000E+00   1.000E+00   00000   5.893E-01   3.916E-01  3p2   N/A    N/A    N/A 
   83   6.300723E+03   5.113728E-01   8.618E+14   9.542E+34   4.813E-01      9.666E-01   8.035E-01   1.124E+00   2.341E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      3.101E+08   1.000E+00   1.000E+00   00000   5.898E-01   3.920E-01  3p2   N/A    N/A    N/A 
   84   6.325927E+03   5.164926E-01   8.598E+14   9.469E+34   4.803E-01      9.655E-01   8.022E-01   1.123E+00   2.339E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      3.122E+08   1.000E+00   1.000E+00   00000   5.902E-01   3.923E-01  3p2   N/A    N/A    N/A 
   85   6.350930E+03   5.215718E-01   8.577E+14   9.396E+34   4.793E-01      9.644E-01   8.009E-01   1.122E+00   2.338E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      3.142E+08   1.000E+00   1.000E+00   00000   5.907E-01   3.927E-01  3p2   N/A    N/A    N/A 
   86   6.375739E+03   5.268177E-01   8.556E+14   9.325E+34   4.782E-01      9.633E-01   7.996E-01   1.120E+00   2.336E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      3.163E+08   1.000E+00   1.000E+00   00000   5.912E-01   3.931E-01  3p2   N/A    N/A    N/A 
   87   6.400356E+03   5.325953E-01   8.533E+14   9.253E+34   4.771E-01      9.621E-01   7.982E-01   1.118E+00   2.335E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      3.186E+08   1.000E+00   1.000E+00   00000   5.918E-01   3.935E-01  3p2   N/A    N/A    N/A 
