         5       363       111       267

EOS                                                                            

  i            rad           emas         rho         pres          nb           kf(e)      kf(mu)       kf(p)       kf(n)      kf(la)      kf(S-)      kf(S0)      kf(S+)         Tc(n)       Tc(p)      Tc(la)    Durca        mstn        mstp  nSF   Acel   Aion   Zion
   49   8.964713E+03   6.176819E-01   3.506E+14   1.328E+34   2.045E-01      7.117E-01   4.688E-01   7.739E-01   1.775E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.975E+08   5.238E+08   1.000E+00   00000   8.919E-01   8.919E-01  3p2   N/A    N/A    N/A 
   50   9.025287E+03   6.280243E-01   3.486E+14   1.296E+34   2.034E-01      7.097E-01   4.658E-01   7.711E-01   1.772E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.969E+08   5.892E+08   1.000E+00   00000   8.925E-01   8.925E-01  3p2   N/A    N/A    N/A 
   51   9.085059E+03   6.389025E-01   3.463E+14   1.265E+34   2.021E-01      7.075E-01   4.624E-01   7.680E-01   1.769E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.961E+08   6.638E+08   1.000E+00   00000   8.932E-01   8.932E-01  3p2   N/A    N/A    N/A 
   52   9.144055E+03   6.499020E-01   3.439E+14   1.235E+34   2.008E-01      7.051E-01   4.588E-01   7.647E-01   1.765E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.951E+08   7.402E+08   1.000E+00   00000   8.939E-01   8.939E-01  3p2   N/A    N/A    N/A 
   53   9.202298E+03   6.607613E-01   3.415E+14   1.206E+34   1.995E-01      7.028E-01   4.552E-01   7.614E-01   1.761E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.941E+08   8.136E+08   1.000E+00   00000   8.946E-01   8.946E-01  3p2   N/A    N/A    N/A 
   54   9.259814E+03   6.714850E-01   3.392E+14   1.176E+34   1.982E-01      7.005E-01   4.517E-01   7.582E-01   1.758E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.929E+08   8.830E+08   1.000E+00   00000   8.952E-01   8.952E-01  3p2   N/A    N/A    N/A 
   55   9.316625E+03   6.820770E-01   3.369E+14   1.147E+34   1.969E-01      6.982E-01   4.481E-01   7.550E-01   1.754E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.917E+08   9.481E+08   1.000E+00   00000   8.959E-01   8.959E-01  3p2   N/A    N/A    N/A 
   56   9.372750E+03   6.925415E-01   3.347E+14   1.119E+34   1.956E-01      6.960E-01   4.446E-01   7.519E-01   1.751E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.904E+08   1.009E+09   1.000E+00   00000   8.966E-01   8.966E-01  3p2   N/A    N/A    N/A 
   57   9.428212E+03   7.028820E-01   3.324E+14   1.090E+34   1.943E-01      6.938E-01   4.411E-01   7.487E-01   1.747E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.889E+08   1.067E+09   1.000E+00   00000   8.972E-01   8.972E-01  3p2   N/A    N/A    N/A 
   58   9.483028E+03   7.131023E-01   3.302E+14   1.063E+34   1.931E-01      6.916E-01   4.376E-01   7.456E-01   1.744E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.875E+08   1.121E+09   1.000E+00   00000   8.979E-01   8.979E-01  3p2   N/A    N/A    N/A 
