#   Time in years,  Te_inf includes ephi
#   Temp and Lum are local values, i.e. no ephi
#
#
#        Time= 1.000E-10      Te_inf 6.264E+06
#
# zone       Rad [m]       Rho [gm/cc]        exp(phi)           dvol         Temp [K]      Lum [Lsun]           Q_mUrca        lambda_e       lambda_mu         Q_dUrca  
#                                                                        no exp(phi)    no exp(2phi) 
#
  187   1.2295842E+004  8.6387266E+012  8.7098697E-001  2.1625221E+016    8.1884803E+009  8.5533348E+002    0.0000000E+000  3.0123694E+019  0.0000000E+000  0.0000000E+000
  185   1.2285901E+004  9.3284497E+012  8.7087504E-001  2.1592705E+016    8.1959143E+009  8.8966718E+002    0.0000000E+000  3.1309811E+019  0.0000000E+000  0.0000000E+000
  183   1.2275960E+004  1.0073241E+013  8.7076313E-001  2.1560215E+016    8.2033603E+009  9.2537337E+002    0.0000000E+000  3.2588674E+019  0.0000000E+000  0.0000000E+000
  181   1.2265111E+004  1.0877497E+013  8.7064050E-001  2.6260627E+016    8.2115056E+009  9.6686461E+002    0.0000000E+000  3.3970860E+019  0.0000000E+000  0.0000000E+000
  179   1.2252613E+004  1.1745965E+013  8.7049846E-001  2.7009077E+016    8.2209131E+009  1.0103976E+003    0.0000000E+000  3.5469715E+019  0.0000000E+000  0.0000000E+000
  177   1.2240116E+004  1.2683773E+013  8.7035643E-001  2.6957666E+016    8.2303396E+009  1.0576707E+003    0.0000000E+000  3.7095838E+019  0.0000000E+000  0.0000000E+000
  175   1.2227619E+004  1.3696456E+013  8.7021443E-001  2.6906305E+016    8.2397852E+009  1.1090934E+003    0.0000000E+000  3.8863083E+019  0.0000000E+000  0.0000000E+000
  173   1.2215121E+004  1.4789992E+013  8.7007246E-001  2.7291593E+016    8.2492500E+009  1.1639662E+003    0.0000000E+000  4.0786993E+019  0.0000000E+000  0.0000000E+000
  171   1.2201011E+004  1.5970837E+013  8.6991105E-001  3.2842761E+016    8.2599703E+009  1.2280830E+003    0.0000000E+000  4.2922114E+019  0.0000000E+000  0.0000000E+000
  169   1.2185694E+004  1.7245962E+013  8.6973512E-001  3.2765451E+016    8.2716421E+009  1.2965538E+003    0.0000000E+000  4.5266086E+019  0.0000000E+000  0.0000000E+000
  167   1.2170377E+004  1.8622894E+013  8.6955923E-001  3.2688234E+016    8.2833431E+009  1.3716723E+003    0.0000000E+000  4.7835312E+019  0.0000000E+000  0.0000000E+000
  165   1.2155060E+004  2.0109761E+013  8.6938338E-001  3.2611110E+016    8.2950732E+009  1.4542182E+003    0.0000000E+000  5.0656169E+019  0.0000000E+000  0.0000000E+000
  163   1.2139743E+004  2.1715341E+013  8.6920756E-001  3.5186136E+016    8.3068327E+009  1.5448670E+003    0.0000000E+000  5.3758220E+019  0.0000000E+000  0.0000000E+000
  161   1.2121731E+004  2.3449112E+013  8.6899831E-001  3.8566996E+016    8.3207238E+009  1.6454155E+003    0.0000000E+000  5.7178435E+019  0.0000000E+000  0.0000000E+000
  159   1.2103523E+004  2.5321308E+013  8.6878668E-001  3.8457653E+016    8.3348087E+009  1.7560620E+003    0.0000000E+000  6.0950211E+019  0.0000000E+000  0.0000000E+000
  157   1.2085315E+004  2.7342982E+013  8.6857511E-001  3.8348468E+016    8.3489356E+009  1.8782725E+003    0.0000000E+000  6.5114091E+019  0.0000000E+000  0.0000000E+000
  155   1.2067106E+004  2.9526069E+013  8.6836358E-001  3.8239442E+016    8.3631048E+009  2.0115393E+003    0.0000000E+000  6.9715086E+019  0.0000000E+000  0.0000000E+000
  153   1.2047790E+004  3.1883454E+013  8.6813810E-001  4.4221101E+016    8.3781937E+009  2.1443724E+003    0.0000000E+000  7.4804277E+019  0.0000000E+000  0.0000000E+000
  151   1.2025971E+004  3.4429056E+013  8.6788103E-001  4.5526175E+016    8.3953191E+009  2.2944774E+003    0.0000000E+000  7.9149190E+019  0.0000000E+000  0.0000000E+000
  149   1.2004152E+004  3.7177900E+013  8.6762403E-001  4.5368828E+016    8.4125060E+009  2.4820495E+003    0.0000000E+000  8.5506836E+019  0.0000000E+000  0.0000000E+000
  147   1.1982333E+004  4.0146214E+013  8.6736712E-001  4.5211756E+016    8.4297550E+009  2.6911163E+003    0.0000000E+000  9.2591134E+019  0.0000000E+000  0.0000000E+000
  145   1.1960514E+004  4.3351521E+013  8.6711027E-001  4.7071123E+016    8.4470663E+009  2.9223670E+003    0.0000000E+000  1.0048862E+020  0.0000000E+000  0.0000000E+000
  143   1.1935618E+004  4.6812743E+013  8.6681369E-001  5.3509874E+016    8.4669311E+009  3.1846228E+003    0.0000000E+000  1.0929941E+020  0.0000000E+000  0.0000000E+000
  141   1.1909600E+004  5.0550311E+013  8.6650272E-001  5.3284804E+016    8.4877897E+009  3.4746819E+003    0.0000000E+000  1.1912209E+020  0.0000000E+000  0.0000000E+000
  139   1.1883583E+004  5.4586289E+013  8.6619185E-001  5.3060212E+016    8.5087388E+009  3.7976163E+003    0.0000000E+000  1.3006349E+020  0.0000000E+000  0.0000000E+000
  137   1.1857565E+004  5.8944504E+013  8.6588110E-001  5.2836097E+016    8.5297790E+009  4.1542367E+003    0.0000000E+000  1.4223796E+020  0.0000000E+000  0.0000000E+000
  135   1.1830442E+004  6.3650682E+013  8.6555599E-001  6.0342935E+016    8.5518232E+009  4.5557610E+003    0.0000000E+000  1.5576521E+020  0.0000000E+000  0.0000000E+000
