#   Time in years,  Te_inf includes ephi
#   Temp and Lum are local values, i.e. no ephi
#
#
#        Time= 1.000E-10      Te_inf 6.450E+06
#
# zone       Rad [m]       Rho [gm/cc]        exp(phi)           dvol         Temp [K]      Lum [Lsun]           Q_mUrca        lambda_e       lambda_mu         Q_dUrca  
#                                                                        no exp(phi)    no exp(2phi) 
#
  157   1.2085331E+004  2.7342982E+013  8.3982343E-001  3.1705691E+016    8.2392599E+009  1.4296804E+003    0.0000000E+000  6.4898105E+019  0.0000000E+000  0.0000000E+000
  155   1.2069462E+004  2.9526069E+013  8.3959238E-001  3.4490102E+016    8.2498744E+009  1.5322460E+003    0.0000000E+000  6.9486700E+019  0.0000000E+000  0.0000000E+000
  153   1.2053580E+004  3.1883454E+013  8.3936119E-001  3.4405804E+016    8.2605228E+009  1.6314167E+003    0.0000000E+000  7.4561421E+019  0.0000000E+000  0.0000000E+000
  151   1.2037697E+004  3.4429056E+013  8.3913006E-001  3.4321612E+016    8.2711961E+009  1.7450587E+003    0.0000000E+000  7.8883050E+019  0.0000000E+000  0.0000000E+000
  149   1.2021815E+004  3.7177900E+013  8.3889899E-001  3.4237527E+016    8.2818942E+009  1.8850884E+003    0.0000000E+000  8.5221386E+019  0.0000000E+000  0.0000000E+000
  147   1.2004722E+004  4.0146214E+013  8.3864900E-001  4.0195277E+016    8.2934494E+009  2.0458970E+003    0.0000000E+000  9.2288304E+019  0.0000000E+000  0.0000000E+000
  145   1.1985633E+004  4.3351521E+013  8.3836778E-001  4.0918139E+016    8.3064094E+009  2.2227782E+003    0.0000000E+000  1.0017203E+020  0.0000000E+000  0.0000000E+000
  143   1.1966544E+004  4.6812743E+013  8.3808666E-001  4.0795557E+016    8.3194059E+009  2.4199916E+003    0.0000000E+000  1.0896446E+020  0.0000000E+000  0.0000000E+000
  141   1.1947455E+004  5.0550311E+013  8.3780563E-001  4.0673163E+016    8.3324391E+009  2.6397792E+003    0.0000000E+000  1.1876828E+020  0.0000000E+000  0.0000000E+000
  139   1.1928366E+004  5.4586289E+013  8.3752469E-001  4.2952266E+016    8.3455091E+009  2.8831887E+003    0.0000000E+000  1.2969325E+020  0.0000000E+000  0.0000000E+000
  137   1.1906323E+004  5.8944504E+013  8.3719644E-001  4.8120601E+016    8.3606872E+009  3.1569687E+003    0.0000000E+000  1.4185958E+020  0.0000000E+000  0.0000000E+000
  135   1.1883590E+004  6.3650682E+013  8.3685726E-001  4.7944712E+016    8.3764001E+009  3.4592992E+003    0.0000000E+000  1.5538279E+020  0.0000000E+000  0.0000000E+000
  133   1.1860858E+004  6.8732605E+013  8.3651822E-001  4.7769148E+016    8.3921663E+009  3.7940660E+003    0.0000000E+000  1.7038166E+020  0.0000000E+000  0.0000000E+000
  131   1.1838125E+004  7.4220273E+013  8.3617932E-001  4.7593909E+016    8.4079859E+009  4.0964137E+003    0.0000000E+000  1.8697254E+020  0.0000000E+000  0.0000000E+000
  129   1.1813694E+004  8.0146081E+013  8.3581348E-001  5.7486306E+016    8.4250653E+009  4.4448173E+003    0.0000000E+000  1.9954681E+020  0.0000000E+000  0.0000000E+000
  127   1.1784682E+004  8.6545010E+013  8.3537483E-001  6.0207612E+016    8.4454730E+009  4.8828283E+003    0.0000000E+000  2.1923702E+020  0.0000000E+000  0.0000000E+000
  125   1.1755671E+004  9.3454836E+013  8.3493640E-001  5.9917237E+016    8.4659696E+009  5.3630519E+003    0.0000000E+000  2.4087684E+020  0.0000000E+000  0.0000000E+000
  123   1.1726659E+004  1.0091635E+014  8.3449820E-001  5.9627566E+016    8.4865559E+009  5.8871569E+003    0.0000000E+000  2.6456087E+020  0.0000000E+000  0.0000000E+000
  121   1.1697647E+004  1.0897359E+014  8.3406024E-001  7.1084143E+016    8.5072323E+009  6.4562574E+003    0.0000000E+000  2.9035507E+020  0.0000000E+000  0.0000000E+000
  119   1.1656946E+004  1.1767413E+014  8.3343703E-001  8.3004164E+016    8.5364864E+009  7.0841606E+003    0.0000000E+000  3.1827997E+020  0.0000000E+000  0.0000000E+000
  117   1.1616077E+004  1.2706933E+014  8.3281163E-001  8.2417195E+016    8.5660445E+009  7.7971960E+003    0.0000000E+000  3.4947924E+020  0.0000000E+000  0.0000000E+000
  115   1.1575208E+004  1.3721465E+014  8.3218669E-001  8.1832309E+016    8.5957870E+009  8.5406859E+003    0.0000000E+000  3.8538838E+020  0.0000000E+000  0.0000000E+000
  113   1.1526545E+004  1.4816999E+014  8.3143991E-001  1.4441083E+017    8.6314787E+009  1.6611730E+004    0.0000000E+000  4.2113220E+020  0.0000000E+000  0.0000000E+000
  111   1.1442392E+004  1.6000000E+014  8.3013659E-001  1.4475381E+017    8.6938968E+009 -1.2720604E+000    4.2864464E+028  1.1219832E+021  0.0000000E+000  0.0000000E+000
  109   1.1373252E+004  1.6957992E+014  8.2906732E-001  1.3432075E+017    8.7051074E+009 -1.0156994E+000    4.4979255E+028  1.2073609E+021  0.0000000E+000  0.0000000E+000
  107   1.1303261E+004  1.7880869E+014  8.2798181E-001  1.3425023E+017    8.7165185E+009 -7.6492701E-001    4.6747973E+028  1.2898168E+021  0.0000000E+000  0.0000000E+000
  105   1.1232392E+004  1.8693260E+014  8.2687246E-001  1.3415996E+017    8.7282115E+009 -6.0978590E-001    4.8153604E+028  1.3624360E+021  0.0000000E+000  0.0000000E+000
  103   1.1160617E+004  1.9516026E+014  8.2575046E-001  1.3406414E+017    8.7400702E+009 -4.5664441E-001    4.9380878E+028  1.4360948E+021  0.0000000E+000  0.0000000E+000
  101   1.1087908E+004  2.0349511E+014  8.2461540E-001  1.3396680E+017    8.7521000E+009 -1.0061526E-001    5.0435920E+028  1.5107575E+021  0.0000000E+000  0.0000000E+000
   99   1.1014232E+004  2.1171233E+014  8.2346464E-001  1.3385843E+017    8.7643306E+009 -2.2963322E-001    5.1374560E+028  1.5714490E+021  5.6104416E+018  0.0000000E+000
   97   1.0939557E+004  2.1881436E+014  8.2228812E-001  1.3372807E+017    8.7768702E+009 -2.5589061E-001    5.2305289E+028  1.6446815E+021  4.1885193E+019  0.0000000E+000
   95   1.0863848E+004  2.2601472E+014  8.2109703E-001  1.3358915E+017    8.7896017E+009 -2.2605366E-001    5.3203188E+028  1.7156678E+021  9.5042223E+019  0.0000000E+000
   93   1.0787069E+004  2.3331686E+014  8.1989086E-001  1.3344905E+017    8.8025320E+009 -1.7167045E-001    5.4043672E+028  1.7863119E+021  1.5811401E+020  0.0000000E+000
   91   1.0709182E+004  2.4072440E+014  8.1866909E-001  1.3330262E+017    8.8156686E+009 -1.0617233E-001    5.4815554E+028  1.8572401E+021  2.2785305E+020  0.0000000E+000
   89   1.0630144E+004  2.4817556E+014  8.1743076E-001  1.3315071E+017    8.8290234E+009 -1.1953355E-001    5.5514182E+028  1.9282872E+021  3.0218386E+020  0.0000000E+000
   87   1.0549914E+004  2.5462903E+014  8.1616912E-001  1.3297444E+017    8.8426712E+009 -6.0549025E-002    5.6154995E+028  1.9894347E+021  3.6839200E+020  0.0000000E+000
   85   1.0468444E+004  2.6118218E+014  8.1488998E-001  1.3279209E+017    8.8565516E+009  1.6123801E-003    5.6744125E+028  2.0514899E+021  4.3712515E+020  0.0000000E+000
   83   1.0385685E+004  2.6783896E+014  8.1359266E-001  1.3260453E+017    8.8706738E+009  6.7276879E-002    5.7279967E+028  2.1143680E+021  5.0765149E+020  0.0000000E+000
   81   1.0301587E+004  2.7460349E+014  8.1227646E-001  1.3240956E+017    8.8850478E+009  1.3425358E-001    5.7763003E+028  2.1783378E+021  5.8018743E+020  0.0000000E+000
