         5       363       111       267

EOS                                                                            

  i            rad           emas         rho         pres          nb           kf(e)      kf(mu)       kf(p)       kf(n)      kf(la)      kf(S-)      kf(S0)      kf(S+)         Tc(n)       Tc(p)      Tc(la)    Durca        mstn        mstp  nSF   Acel   Aion   Zion
   79   1.021609E+04   9.397550E-01   2.815E+14   5.940E+33   1.653E-01      6.310E-01   3.340E-01   6.608E-01   1.664E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.284E+08   2.216E+09   1.000E+00   00000   8.899E-01   7.062E-01  3p2   N/A    N/A    N/A 
   80   1.025902E+04   9.475956E-01   2.780E+14   5.737E+33   1.633E-01      6.269E-01   3.260E-01   6.550E-01   1.658E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.220E+08   2.282E+09   1.000E+00   00000   8.944E-01   7.088E-01  3p2   N/A    N/A    N/A 
   81   1.030159E+04   9.553711E-01   2.746E+14   5.535E+33   1.613E-01      6.227E-01   3.179E-01   6.492E-01   1.651E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.154E+08   2.346E+09   1.000E+00   00000   8.988E-01   7.113E-01  3p2   N/A    N/A    N/A 
   82   1.034381E+04   9.630827E-01   2.712E+14   5.334E+33   1.594E-01      6.186E-01   3.097E-01   6.434E-01   1.645E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.085E+08   2.409E+09   1.000E+00   00000   9.032E-01   7.139E-01  3p2   N/A    N/A    N/A 
   83   1.038569E+04   9.707320E-01   2.678E+14   5.136E+33   1.574E-01      6.144E-01   3.013E-01   6.377E-01   1.639E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.014E+08   2.471E+09   1.000E+00   00000   9.076E-01   7.165E-01  3p2   N/A    N/A    N/A 
   84   1.042723E+04   9.783202E-01   2.645E+14   4.939E+33   1.555E-01      6.103E-01   2.928E-01   6.320E-01   1.633E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.940E+08   2.530E+09   1.000E+00   00000   9.119E-01   7.190E-01  3p2   N/A    N/A    N/A 
   85   1.046844E+04   9.858483E-01   2.612E+14   4.743E+33   1.536E-01      6.061E-01   2.841E-01   6.263E-01   1.626E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.865E+08   2.587E+09   1.000E+00   00000   9.162E-01   7.216E-01  3p2   N/A    N/A    N/A 
   86   1.050934E+04   9.933177E-01   2.579E+14   4.549E+33   1.517E-01      6.020E-01   2.752E-01   6.206E-01   1.620E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.786E+08   2.642E+09   1.000E+00   00000   9.205E-01   7.241E-01  3p2   N/A    N/A    N/A 
   87   1.054991E+04   1.000729E+00   2.546E+14   4.356E+33   1.498E-01      5.979E-01   2.661E-01   6.150E-01   1.614E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.706E+08   2.695E+09   1.000E+00   00000   9.247E-01   7.267E-01  3p2   N/A    N/A    N/A 
   88   1.059018E+04   1.008084E+00   2.514E+14   4.165E+33   1.479E-01      5.938E-01   2.567E-01   6.094E-01   1.608E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.623E+08   2.746E+09   1.000E+00   00000   9.289E-01   7.293E-01  3p2   N/A    N/A    N/A 
